,flops,image_size,params,subnet_settings,top1,top5
78,350.55,"[1, 3, 32, 32]",6.625,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [40, 96, 64, 256, 256, 576], 'kernel_size': [7, 3, 3, 3, 3, 3]}",9.84,48.86
79,356.946,"[1, 3, 32, 32]",5.524,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [32, 72, 72, 96, 96, 128, 128, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.35,57.4
80,747.959,"[1, 3, 32, 32]",15.845,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [40, 80, 80, 112, 320, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.89,50.09
81,591.09,"[1, 3, 32, 32]",6.563,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 88, 88, 96, 96, 304, 304, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",10.13,52.48
82,418.434,"[1, 3, 32, 32]",2.871,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 72, 72, 144, 144, 128, 128, 128, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",10.43,60.74
83,624.826,"[1, 3, 32, 32]",12.695,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [48, 72, 72, 160, 160, 128, 128, 128, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.34,59.6
84,206.738,"[1, 3, 32, 32]",3.515,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [32, 88, 64, 64, 128, 512], 'kernel_size': [3, 3, 3, 3, 3, 3]}",9.89,51.74
85,308.801,"[1, 3, 32, 32]",3.722,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 96, 144, 256, 384], 'kernel_size': [5, 3, 3, 3, 3]}",10.02,56.26
86,453.512,"[1, 3, 32, 32]",3.652,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 64, 64, 144, 144, 224, 224, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.28,55.57
87,269.711,"[1, 3, 32, 32]",5.888,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [56, 56, 64, 64, 240, 240, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",9.82,47.18
88,240.874,"[1, 3, 32, 32]",4.048,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [56, 80, 112, 176, 512], 'kernel_size': [3, 3, 3, 3, 3]}",9.76,54.27
89,375.756,"[1, 3, 32, 32]",6.116,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [48, 96, 96, 96, 320, 544], 'kernel_size': [7, 3, 3, 3, 3, 3]}",10.04,55.29
90,423.155,"[1, 3, 32, 32]",8.447,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [64, 32, 32, 80, 80, 288, 288, 288, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.57,42.09
91,490.622,"[1, 3, 32, 32]",7.971,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 72, 72, 144, 144, 224, 352, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.24,58.95
92,364.426,"[1, 3, 32, 32]",6.149,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [40, 64, 64, 64, 272, 272, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",9.94,48.05
93,303.355,"[1, 3, 32, 32]",4.133,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 88, 128, 160, 160, 480], 'kernel_size': [5, 3, 3, 3, 3, 3]}",10.03,55.09
94,516.394,"[1, 3, 32, 32]",7.317,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [32, 80, 80, 112, 320, 320, 320, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",9.91,52.28
95,496.735,"[1, 3, 32, 32]",12.241,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [48, 56, 64, 64, 304, 304, 304, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.76,46.18
96,196.842,"[1, 3, 32, 32]",3.66,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [48, 40, 40, 80, 144, 144, 144, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",9.48,44.84
97,405.313,"[1, 3, 32, 32]",5.462,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [32, 88, 88, 64, 320, 512], 'kernel_size': [5, 3, 3, 3, 3, 3]}",9.9,51.72
98,851.679,"[1, 3, 32, 32]",22.607,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 80, 144, 144, 320, 320, 320, 576, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.01,52.69
99,473.583,"[1, 3, 32, 32]",2.737,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 96, 96, 96, 96, 144, 144, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",10.37,56.83
100,292.344,"[1, 3, 32, 32]",9.856,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [32, 40, 96, 96, 240, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",9.56,46.47
101,592.17,"[1, 3, 32, 32]",9.914,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [64, 80, 160, 160, 224, 224, 224, 352, 352, 352], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.25,56.81
102,575.601,"[1, 3, 32, 32]",12.798,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 96, 96, 96, 144, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",10.19,55.75
103,474.92,"[1, 3, 32, 32]",10.477,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 72, 72, 128, 320, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",10.24,59.74
104,218.975,"[1, 3, 32, 32]",1.986,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [48, 48, 128, 128, 160, 256], 'kernel_size': [5, 3, 3, 3, 3, 3]}",9.78,53.35
105,510.259,"[1, 3, 32, 32]",5.452,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [56, 96, 96, 96, 96, 224, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",10.26,57.89
106,542.398,"[1, 3, 32, 32]",6.301,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [64, 96, 96, 144, 240, 608], 'kernel_size': [7, 3, 3, 3, 3, 3]}",10.16,58.4
107,353.718,"[1, 3, 32, 32]",6.515,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [64, 32, 112, 272, 272, 272, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",9.49,43.46
108,248.974,"[1, 3, 32, 32]",3.27,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [48, 48, 48, 96, 176, 176, 176, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",9.93,49.72
109,351.358,"[1, 3, 32, 32]",4.848,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [32, 80, 80, 112, 176, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",9.98,56.08
110,726.497,"[1, 3, 32, 32]",22.63,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [56, 96, 80, 288, 288, 288, 608, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",9.76,47.31
111,363.287,"[1, 3, 32, 32]",9.981,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 88, 64, 64, 160, 160, 160, 416, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.74,47.39
112,247.681,"[1, 3, 32, 32]",8.076,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [48, 40, 40, 64, 128, 128, 128, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",9.73,46.55
113,365.186,"[1, 3, 32, 32]",7.391,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [32, 64, 128, 128, 304, 320, 320, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.01,55.74
114,348.918,"[1, 3, 32, 32]",6.342,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [48, 72, 72, 80, 128, 128, 128, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.13,54.4
115,311.243,"[1, 3, 32, 32]",4.458,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [40, 48, 128, 128, 176, 176, 176, 416], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",9.91,51.89
116,434.326,"[1, 3, 32, 32]",2.086,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [48, 96, 96, 144, 160, 256], 'kernel_size': [5, 3, 3, 3, 3, 3]}",10.19,57.94
117,491.207,"[1, 3, 32, 32]",12.688,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [40, 72, 72, 96, 96, 240, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.19,56.22
