,flops,image_size,params,subnet_settings,top1,top5
44,408.868,"[1, 3, 32, 32]",10.601,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 64, 128, 128, 176, 176, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.67,99.89
45,239.161,"[1, 3, 32, 32]",3.775,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 56, 112, 208, 208, 384], 'kernel_size': [5, 3, 3, 3, 3, 3]}",95.54,99.91
46,208.007,"[1, 3, 32, 32]",2.718,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [56, 80, 96, 176, 384], 'kernel_size': [3, 3, 3, 3, 3]}",94.64,99.88
47,383.734,"[1, 3, 32, 32]",9.614,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [64, 48, 48, 80, 80, 240, 240, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.36,99.9
48,364.801,"[1, 3, 32, 32]",3.534,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [56, 80, 80, 96, 288, 352], 'kernel_size': [3, 3, 3, 3, 3, 3]}",94.95,99.88
49,568.447,"[1, 3, 32, 32]",13.661,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 56, 56, 64, 64, 304, 304, 304, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.49,99.88
50,425.711,"[1, 3, 32, 32]",18.238,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [32, 32, 96, 240, 240, 576, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",94.87,99.87
51,616.741,"[1, 3, 32, 32]",12.57,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [40, 80, 80, 144, 144, 128, 128, 128, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",94.78,99.88
52,176.705,"[1, 3, 32, 32]",5.129,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 32, 128, 144, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3]}",94.07,99.84
53,570.659,"[1, 3, 32, 32]",15.582,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 48, 80, 80, 320, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.46,99.9
54,412.046,"[1, 3, 32, 32]",8.497,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [32, 72, 144, 144, 128, 128, 128, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",95.53,99.86
55,272.51,"[1, 3, 32, 32]",3.396,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [40, 80, 96, 192, 192, 192, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",95.39,99.89
56,148.483,"[1, 3, 32, 32]",4.679,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [40, 40, 80, 160, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",92.76,99.82
57,572.01,"[1, 3, 32, 32]",9.879,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [40, 72, 72, 112, 112, 240, 240, 240, 352, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.7,99.9
58,268.783,"[1, 3, 32, 32]",6.446,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 32, 80, 80, 256, 256, 352, 352], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",94.98,99.91
59,454.826,"[1, 3, 32, 32]",12.849,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [48, 64, 64, 80, 176, 176, 176, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",95.32,99.87
60,474.438,"[1, 3, 32, 32]",7.236,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [48, 80, 80, 128, 224, 224, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",95.24,99.92
61,537.934,"[1, 3, 32, 32]",19.745,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [40, 72, 144, 208, 208, 608, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.45,99.91
62,550.327,"[1, 3, 32, 32]",12.022,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [64, 80, 112, 112, 304, 304, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.85,99.93
63,251.35,"[1, 3, 32, 32]",3.221,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [64, 48, 48, 80, 176, 176, 176, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",94.99,99.88
64,340.094,"[1, 3, 32, 32]",5.499,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [56, 56, 56, 112, 112, 240, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",94.98,99.88
65,281.163,"[1, 3, 32, 32]",4.829,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 96, 112, 176, 576], 'kernel_size': [7, 3, 3, 3, 3]}",94.72,99.88
66,670.366,"[1, 3, 32, 32]",14.358,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [40, 80, 80, 144, 144, 160, 160, 160, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.11,99.92
67,354.331,"[1, 3, 32, 32]",2.402,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [40, 88, 88, 64, 64, 224, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",94.93,99.91
68,294.934,"[1, 3, 32, 32]",13.843,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [32, 32, 80, 240, 512, 512, 512], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",93.01,99.85
69,297.397,"[1, 3, 32, 32]",5.554,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [56, 80, 112, 144, 144, 144, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",95.24,99.91
70,169.684,"[1, 3, 32, 32]",2.255,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [40, 64, 64, 64, 144, 144, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",94.72,99.84
71,430.64,"[1, 3, 32, 32]",5.702,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [64, 32, 144, 144, 256, 256, 256, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",96.08,99.92
72,483.478,"[1, 3, 32, 32]",5.462,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [32, 64, 160, 160, 304, 304, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",95.87,99.93
73,789.141,"[1, 3, 32, 32]",19.963,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 72, 160, 160, 288, 288, 288, 544, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.99,99.91
74,225.022,"[1, 3, 32, 32]",3.561,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [32, 88, 64, 288, 384], 'kernel_size': [5, 3, 3, 3, 3]}",94.57,99.85
75,385.904,"[1, 3, 32, 32]",6.634,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [56, 96, 128, 208, 208, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",95.33,99.9
76,373.799,"[1, 3, 32, 32]",11.418,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [56, 56, 112, 112, 224, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",95.45,99.91
77,567.61,"[1, 3, 32, 32]",6.488,"{'depth': [1, 2, 2, 2, 3], 'out_channel': [48, 72, 72, 160, 160, 240, 240, 256, 256, 256], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.39,99.88
78,350.55,"[1, 3, 32, 32]",6.625,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [40, 96, 64, 256, 256, 576], 'kernel_size': [7, 3, 3, 3, 3, 3]}",95.38,99.89
79,356.946,"[1, 3, 32, 32]",5.524,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [32, 72, 72, 96, 96, 128, 128, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.0,99.88
80,747.959,"[1, 3, 32, 32]",15.845,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [40, 80, 80, 112, 320, 320, 320, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.58,99.89
81,591.09,"[1, 3, 32, 32]",6.563,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 88, 88, 96, 96, 304, 304, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.74,99.92
82,418.434,"[1, 3, 32, 32]",2.871,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 72, 72, 144, 144, 128, 128, 128, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",94.84,99.88
83,624.826,"[1, 3, 32, 32]",12.695,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [48, 72, 72, 160, 160, 128, 128, 128, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",94.8,99.88
84,206.738,"[1, 3, 32, 32]",3.515,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [32, 88, 64, 64, 128, 512], 'kernel_size': [3, 3, 3, 3, 3, 3]}",94.0,99.86
85,308.801,"[1, 3, 32, 32]",3.722,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 96, 144, 256, 384], 'kernel_size': [5, 3, 3, 3, 3]}",94.91,99.88
86,453.512,"[1, 3, 32, 32]",3.652,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 64, 64, 144, 144, 224, 224, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.64,99.9
87,269.711,"[1, 3, 32, 32]",5.888,"{'depth': [1, 1, 2, 2, 1], 'out_channel': [56, 56, 64, 64, 240, 240, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",95.31,99.87
88,240.874,"[1, 3, 32, 32]",4.048,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [56, 80, 112, 176, 512], 'kernel_size': [3, 3, 3, 3, 3]}",94.66,99.87
89,375.756,"[1, 3, 32, 32]",6.116,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [48, 96, 96, 96, 320, 544], 'kernel_size': [7, 3, 3, 3, 3, 3]}",95.28,99.87
90,423.155,"[1, 3, 32, 32]",8.447,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [64, 32, 32, 80, 80, 288, 288, 288, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.23,99.88
91,490.622,"[1, 3, 32, 32]",7.971,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 72, 72, 144, 144, 224, 352, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",94.82,99.88
92,364.426,"[1, 3, 32, 32]",6.149,"{'depth': [1, 2, 1, 2, 1], 'out_channel': [40, 64, 64, 64, 272, 272, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",95.24,99.93
93,303.355,"[1, 3, 32, 32]",4.133,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 88, 128, 160, 160, 480], 'kernel_size': [5, 3, 3, 3, 3, 3]}",95.04,99.89
94,516.394,"[1, 3, 32, 32]",7.317,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [32, 80, 80, 112, 320, 320, 320, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",95.44,99.9
95,496.735,"[1, 3, 32, 32]",12.241,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [48, 56, 64, 64, 304, 304, 304, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.44,99.88
96,196.842,"[1, 3, 32, 32]",3.66,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [48, 40, 40, 80, 144, 144, 144, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",93.81,99.85
97,405.313,"[1, 3, 32, 32]",5.462,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [32, 88, 88, 64, 320, 512], 'kernel_size': [5, 3, 3, 3, 3, 3]}",94.77,99.86
98,851.679,"[1, 3, 32, 32]",22.607,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 80, 144, 144, 320, 320, 320, 576, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",96.17,99.89
99,473.583,"[1, 3, 32, 32]",2.737,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [64, 96, 96, 96, 96, 144, 144, 320], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",94.99,99.89
100,292.344,"[1, 3, 32, 32]",9.856,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [32, 40, 96, 96, 240, 416, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",94.81,99.82
101,592.17,"[1, 3, 32, 32]",9.914,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [64, 80, 160, 160, 224, 224, 224, 352, 352, 352], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.88,99.93
102,575.601,"[1, 3, 32, 32]",12.798,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 96, 96, 96, 144, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",94.34,99.88
103,474.92,"[1, 3, 32, 32]",10.477,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 72, 72, 128, 320, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",94.76,99.86
104,218.975,"[1, 3, 32, 32]",1.986,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [48, 48, 128, 128, 160, 256], 'kernel_size': [5, 3, 3, 3, 3, 3]}",94.91,99.91
105,510.259,"[1, 3, 32, 32]",5.452,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [56, 96, 96, 96, 96, 224, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.0,99.92
106,542.398,"[1, 3, 32, 32]",6.301,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [64, 96, 96, 144, 240, 608], 'kernel_size': [7, 3, 3, 3, 3, 3]}",94.12,99.9
107,353.718,"[1, 3, 32, 32]",6.515,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [64, 32, 112, 272, 272, 272, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",95.41,99.85
108,248.974,"[1, 3, 32, 32]",3.27,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [48, 48, 48, 96, 176, 176, 176, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",94.85,99.88
109,351.358,"[1, 3, 32, 32]",4.848,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [32, 80, 80, 112, 176, 352, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",94.62,99.86
110,726.497,"[1, 3, 32, 32]",22.63,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [56, 96, 80, 288, 288, 288, 608, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",95.61,99.88
111,363.287,"[1, 3, 32, 32]",9.981,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [32, 88, 64, 64, 160, 160, 160, 416, 416, 416], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.28,99.91
112,247.681,"[1, 3, 32, 32]",8.076,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [48, 40, 40, 64, 128, 128, 128, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",93.68,99.81
113,365.186,"[1, 3, 32, 32]",7.391,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [32, 64, 128, 128, 304, 320, 320, 320], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.53,99.9
114,348.918,"[1, 3, 32, 32]",6.342,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [48, 72, 72, 80, 128, 128, 128, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",94.61,99.87
115,311.243,"[1, 3, 32, 32]",4.458,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [40, 48, 128, 128, 176, 176, 176, 416], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",95.55,99.91
116,434.326,"[1, 3, 32, 32]",2.086,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [48, 96, 96, 144, 160, 256], 'kernel_size': [5, 3, 3, 3, 3, 3]}",93.89,99.86
117,491.207,"[1, 3, 32, 32]",12.688,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [40, 72, 72, 96, 96, 240, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",95.07,99.87
