,flops,image_size,params,subnet_settings,top1,top5
88,529.651,"[1, 3, 32, 32]",7.745,"{'depth': [1, 2, 2, 2, 1], 'out_channel': [32, 72, 72, 112, 112, 304, 304, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",11.37,99.76
89,363.598,"[1, 3, 32, 32]",11.191,"{'depth': [1, 1, 2, 1, 3], 'out_channel': [64, 48, 112, 112, 224, 448, 448, 448], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",29.5,99.82
90,635.104,"[1, 3, 32, 32]",9.556,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [40, 48, 48, 144, 144, 320, 320, 320, 256, 256, 256], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.44,99.57
91,932.559,"[1, 3, 32, 32]",25.659,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [56, 88, 88, 64, 320, 320, 320, 640, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",11.76,99.72
92,208.276,"[1, 3, 32, 32]",5.494,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [48, 56, 64, 272, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",80.35,99.86
93,757.389,"[1, 3, 32, 32]",18.501,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [32, 96, 96, 80, 320, 320, 544, 544, 544], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",11.19,99.72
94,572.576,"[1, 3, 32, 32]",11.85,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [32, 72, 72, 80, 288, 288, 288, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",12.34,99.82
95,257.398,"[1, 3, 32, 32]",5.374,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [48, 32, 32, 96, 96, 304, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",63.14,99.75
96,486.116,"[1, 3, 32, 32]",8.727,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 48, 160, 160, 272, 272, 320, 320, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",11.05,99.77
97,292.017,"[1, 3, 32, 32]",10.629,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [32, 64, 64, 288, 544, 544], 'kernel_size': [3, 3, 3, 3, 3, 3]}",79.37,99.85
98,359.764,"[1, 3, 32, 32]",9.57,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [32, 64, 128, 192, 192, 192, 384, 384, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",12.06,99.74
99,409.26,"[1, 3, 32, 32]",8.085,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [64, 80, 80, 80, 176, 384, 384, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",50.18,99.81
100,335.065,"[1, 3, 32, 32]",3.811,"{'depth': [1, 1, 2, 3, 1], 'out_channel': [56, 80, 112, 112, 160, 160, 160, 384], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",11.3,99.69
101,209.696,"[1, 3, 32, 32]",4.621,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [40, 48, 48, 64, 64, 176, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",52.08,99.78
102,510.586,"[1, 3, 32, 32]",5.917,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [56, 80, 80, 144, 144, 208, 288, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",14.08,99.77
103,629.447,"[1, 3, 32, 32]",21.573,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [32, 80, 80, 64, 64, 288, 640, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",28.6,99.84
104,421.517,"[1, 3, 32, 32]",11.42,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [32, 96, 64, 208, 208, 208, 544, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",18.31,99.78
105,372.955,"[1, 3, 32, 32]",12.221,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 56, 128, 304, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3]}",63.15,99.82
106,145.043,"[1, 3, 32, 32]",2.526,"{'depth': [1, 1, 1, 1, 1], 'out_channel': [40, 32, 144, 176, 352], 'kernel_size': [3, 3, 3, 3, 3]}",71.7,99.79
107,174.902,"[1, 3, 32, 32]",3.611,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [64, 40, 64, 64, 128, 128, 128, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",15.88,99.6
108,399.461,"[1, 3, 32, 32]",7.102,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [32, 40, 40, 128, 128, 208, 208, 208, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.66,99.61
109,213.421,"[1, 3, 32, 32]",4.994,"{'depth': [1, 1, 2, 2, 3], 'out_channel': [48, 40, 96, 96, 128, 128, 288, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",12.24,99.57
110,315.879,"[1, 3, 32, 32]",6.284,"{'depth': [1, 2, 2, 2, 2], 'out_channel': [40, 48, 48, 96, 96, 192, 192, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",10.46,99.6
111,259.479,"[1, 3, 32, 32]",5.438,"{'depth': [1, 1, 1, 3, 1], 'out_channel': [48, 64, 96, 160, 160, 160, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",19.63,99.77
112,466.598,"[1, 3, 32, 32]",10.902,"{'depth': [1, 2, 1, 1, 2], 'out_channel': [56, 72, 72, 160, 160, 576, 576], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",30.45,99.77
113,418.043,"[1, 3, 32, 32]",8.896,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [64, 88, 112, 112, 256, 480, 480], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",27.77,99.84
